ID,H,w
2018-Es-06697,0.29642007,0.5527552
2018-Es-05385,0.21502408,0.65047777
2018-Es-03777,0.23523869,0.62470394
2018-Es-02175,0.23414288,0.62607455
2018-Es-00726,0.2702038,0.58251077
2018-Es-01137,0.16035554,0.72563285
2018-Es-04129,0.1298974,0.77120984
2018-Es-04463,0.17918657,0.6988123
2018-Es-04699,0.17491677,0.7048054
2018-Es-01259,0.17405573,0.7060202
2018-Es-04284,0.2773751,0.5742157
2018-Es-05718,0.3538298,0.49279618
2018-Es-01454,0.1688989,0.71333945
2018-Es-02040,0.15202293,0.737827
2018-Es-02237,0.12932843,0.7720879
2018-Es-06767,0.3389503,0.5076817
2018-Es-06469,0.1622451,0.72289574
2018-Es-00590,0.27114093,0.58142
2018-Es-01679,0.18725371,0.6876279
2018-Es-05485,0.19651374,0.6750102
2018-Es-06617,0.2605005,0.5939257
2018-Es-01576,0.14506364,0.74816835
2018-Es-03432,0.15392897,0.7350197
2018-Es-06139,0.17483215,0.7049247
2018-Es-05268,0.19687317,0.67452514
2018-Es-02391,0.26454833,0.5891369
2018-Es-01460,0.31587836,0.531657
2018-Es-04519,0.14094521,0.7543563
2018-Es-06812,0.3316692,0.51512873
2018-Es-02128,0.31605485,0.5314694
2018-Es-05671,0.22453384,0.63822293
2018-Es-00468,0.2717003,0.58076996
2018-Es-03607,0.19082902,0.68272847
2018-Es-02174,0.15913838,0.7274014
2018-Es-05945,0.23549344,0.6243858
2018-Es-04075,0.2546631,0.6009003
2018-Es-00684,0.16569561,0.7179242
2018-Es-01451,0.15536962,0.7329049
2018-Es-06127,0.29306582,0.55647576
2018-Es-04620,0.3106851,0.53720784
2018-Es-05188,0.3049666,0.5433872
2018-Es-01711,0.25870764,0.5960592
2018-Es-03250,0.27393124,0.57818437
2018-Es-05779,0.30703786,0.54114085
2018-Es-03341,0.2594739,0.5951464
2018-Es-06537,0.23751807,0.6218626
2018-Es-03037,0.17733353,0.70140696
2018-Es-05878,0.17250773,0.7082094
2018-Es-02666,0.15579756,0.7322779
2018-Es-05250,0.2740109,0.5780923
2018-Es-02910,0.23292516,0.6276012
2018-Es-00882,0.20642601,0.6617602
