dev_id,train_nn_rank,train_id,cosine_sim,dev_text,train_text,train_labels,dev_paraphrase,train_paraphrase
2018-En-00866,1,2017-En-21217,0.999699056148529,"@RanaAyyub @rajnathsingh Oh, hidden revenge and anger...I rememberthe time,she rebutted you.",@RyanAbe awe yay thank god I was so worried.,"fear,joy",,
2018-En-02590,1,2017-En-40558,0.9997753500938416,I'm doing all this to make sure you smiling down on me bro,I'm too sober time to get shit faced,"anger,disgust,sadness",,
2018-En-03361,1,2017-En-10740,0.9997066259384155,if not then #teamchristine bc all tana has done is provoke her by tweeting shady shit and trying to be a hard bitch begging for a fight,I love when @pinksaltwarrior angry tweets bc it makes me laugh but also hate it bc it makes me miss her more,"joy,love,sadness",,
2018-En-03230,1,2017-En-20801,0.9991395473480225,"It is a #great start for #beginners to jump into auto #trading. PROFITABLE FX EA will give you full support, manuals &amp; Team Viewer support.","Transform your hardship(s) into a burning #desire to succeed. Never #fear #failure, without it there would be no #success. $SPX #FinTech","joy,optimism",,
2018-En-01143,1,2017-En-11215,0.9997494220733643,My best friends driving for the first time with me in the car #terrifying,13 hour @bus rides make me  #sorry,sadness,,
2018-En-04301,1,2017-En-21171,0.9996026754379272,Hey @SuperValuIRL #Fields in #skibbereen give your online delivery service a horrible name. 1.5 hours late on the 1 hour delivery window.,You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,"anger,disgust",,
2018-En-02651,1,2017-En-20516,0.9996929168701172,Why have #Emmerdale had to rob #robron of having their first child together for that vile woman/cheating sl smh #bitter,#hillaryclinton and their followers are #nervous of a #BernieSanders #millennials saying yes to a #woman #POTUS  #JillStein  not #warmonger,"anticipation,fear",,
2018-En-03058,1,2017-En-11107,0.9995726346969604,@ThomasEWoods I would like to hear a podcast of you going off refuting her entire article. Extra indignation please.,@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,"anger,disgust",,
2018-En-03951,1,2017-En-10237,0.9995391964912415,If I have to hear one more time how I am intimidate men... I'm going to explode! Why are guys these days so pussified?,"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...","anger,disgust",,
2018-En-00968,1,2017-En-40006,0.9997303485870361,depression sucks😔,Extreme sadness,sadness,,
