train_lang,uncertainty_mode,n_runs,HL_mean,HL_std,RL_mean,RL_std,miF1_mean,miF1_std,maF1_mean,maF1_std,AP_mean,AP_std
ar,ambiguity_weight,3,0.19996406755300036,0.004771865639444572,0.11648306738886449,0.0055979634387031876,0.8000359324469996,0.004771865639444556,0.5361853165874363,0.008540679892123239,0.5556079881128262,0.015373274692281605
ar,baseline,3,0.23453906655487686,0.05035118796051438,0.12095785320423003,0.009860927116152163,0.7654609334451233,0.05035118796051435,0.5267624493668551,0.012524646714215682,0.542491784381887,0.02052031572835399
ar,evidential,3,0.3384636882660598,0.04415454363989612,0.13767427553659436,0.005839986485252547,0.6615363117339402,0.04415454363989613,0.5021571338944447,0.006699791185430169,0.49184431230240805,0.011791534097667413
both,ambiguity_weight,3,0.14119043931650405,0.005630391676126106,0.08972164500273529,0.0009979669350709327,0.858809560683496,0.005630391676126113,0.5908721895690578,0.0007620653918991309,0.6228785514203086,0.0009081342515946709
both,baseline,3,0.14113484471235752,0.0028074825750316348,0.09071366516000247,0.0005117909496374271,0.8588651552876425,0.0028074825750316773,0.5890271890914432,0.0017559499864221485,0.6191066771471229,0.0027209931153983217
both,evidential,3,0.15791647307831294,0.010885526026958612,0.10216006625717017,0.001268274416294095,0.842083526921687,0.010885526026958576,0.5574761751511482,0.0031331899282958753,0.5802384138551863,0.0015993405639857532
en,ambiguity_weight,3,0.15146866021367403,0.009642035894431633,0.08598476177488144,0.00022325001503193035,0.848531339786326,0.009642035894431645,0.5886830792398211,0.008627013765163857,0.6217912393635667,0.0021808553062922726
en,baseline,3,0.14831654997349997,0.002556598898131519,0.08756528522561048,0.0006646940264931997,0.8516834500265,0.0025565988981315125,0.5822493967882915,0.001677197548968302,0.6159682188263716,0.0014248065450644801
en,evidential,3,0.21547788408788715,0.026810822115600805,0.09628817876746688,0.0004955053782148239,0.7845221159121127,0.026810822115600787,0.5542118496242346,0.005018318618007961,0.5856534431993415,0.0011190073851974542
es,ambiguity_weight,3,0.1331783143275785,0.006505313562226356,0.10679200824610775,0.004599340455122394,0.8668216856724215,0.006505313562226351,0.5246529523592761,0.0145557930657112,0.5393350310013812,0.017683386150003935
es,baseline,3,0.13802000382238644,0.01994461864820734,0.11161759416840006,0.004347416407977304,0.8619799961776136,0.019944618648207374,0.5081420657086994,0.012990215064982843,0.5233160466838763,0.014981754518747064
es,evidential,3,0.3119385869911448,0.025995526130842918,0.15882002610278714,0.004199434953303796,0.6880614130088553,0.025995526130842928,0.40373397120468507,0.009482430624577789,0.3804437902633138,0.008177411518429456
