train_lang,uncertainty_mode,HL_mean,HL_std,RL_mean,RL_std,miF1_mean,miF1_std,maF1_mean,maF1_std,AP_mean,AP_std
en,baseline,0.14831654997349997,0.0020874542591279768,0.08756528522561048,0.0005427203999947809,0.8516834500265,0.0020874542591279716,0.5822493967882915,0.0013694260642729812,0.6159682188263716,0.001163349672528594
en,ambiguity_weight,0.15146866021367403,0.007872689340985837,0.08598476177488144,0.00018228287396563456,0.848531339786326,0.007872689340985848,0.5886830792398211,0.007043927242872718,0.6217912393635667,0.0017806609010857294
en,evidential,0.21547788408788715,0.02189094458924952,0.09628817876746688,0.00040457844714370347,0.7845221159121127,0.021890944589249506,0.5542118496242346,0.004097439993609451,0.5856534431993415,0.0009136657040465963
es,baseline,0.13802000382238644,0.01628471293416866,0.11161759416840006,0.003549650632982565,0.8619799961776136,0.016284712934168683,0.5081420657086994,0.01060646618607433,0.5233160466838763,0.012232551340855487
es,ambiguity_weight,0.1331783143275785,0.005311566281420586,0.10679200824610775,0.003755345756130006,0.8668216856724215,0.0053115662814205815,0.5246529523592761,0.011884755270844698,0.5393350310013812,0.014438424330702918
es,evidential,0.3119385869911448,0.0212252582052506,0.15882002610278714,0.0034288242812009345,0.6880614130088553,0.021225258205250612,0.40373397120468507,0.007742372183852125,0.3804437902633138,0.006676828545636656
ar,baseline,0.23453906655487686,0.041111572815409274,0.12095785320423003,0.008051413275115743,0.7654609334451233,0.04111157281540925,0.5267624493668551,0.010226331219484783,0.542491784381887,0.016754767631758472
ar,ambiguity_weight,0.19996406755300036,0.00389621197925299,0.11648306738886449,0.0045707180078595686,0.8000359324469996,0.003896211979252977,0.5361853165874363,0.006973435930716804,0.5556079881128262,0.01255222622391067
ar,evidential,0.3384636882660598,0.036052033914399255,0.13767427553659436,0.004768328997872833,0.6615363117339402,0.03605203391439926,0.5021571338944447,0.005470356595833449,0.49184431230240805,0.009627747274638143
both,baseline,0.14113484471235752,0.002292299923527498,0.09071366516000247,0.0004178755605287133,0.8588651552876425,0.0022922999235275325,0.5890271890914432,0.0014337271601937713,0.6191066771471229,0.002221681575450611
both,ambiguity_weight,0.14119043931650405,0.004597195552840894,0.08972164500273529,0.0008148365903643386,0.858809560683496,0.0045971955528409,0.5908721895690578,0.000622223786928988,0.6228785514203086,0.0007414885114504082
both,evidential,0.15791647307831294,0.008887994782611479,0.10216006625717017,0.0010355417245822359,0.842083526921687,0.008887994782611451,0.5574761751511482,0.0025582388638507696,0.5802384138551863,0.0013058561022333886
